Bodmer8Reading,Relation,DifferingReading
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.13@ἡ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.lemmata.13@οἱ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.16@μεῖζον,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.lemmata.16@μείζων
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.2@ἐστὶν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.corollaries.2@ἐστὶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.5@τῶ[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.corollaries.5@τὸ[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.5@τῶ[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.corollaries.5@τὸ[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.8@τῆ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.corollaries.8@τὴν
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.2@ὡς,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:2.propositions.2@ὁ
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.5@τῶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:2.propositions.5@τὰ
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.5@ΑΓΒ[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:2.propositions.5@ΑΒΓ[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.5@ἄλλω[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:2.propositions.5@ἄλλο[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.6@ΒΘ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:2.propositions.6@ΘΒ
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8b@δὴ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:2.propositions.8b@δὲ
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@τὸ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:2.propositions.9@τῶ
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@ΛΝ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:2.propositions.9@ΛΗ
